date,open,high,low,close,volume
2022-01-07,4824.318,4856.652,4818.193,4822.369,18713941300
2022-01-10,4812.23,4844.393,4780.819,4844.045,15621169600
2022-01-11,4840.009,4850.879,4791.885,4797.774,14692800400
2022-01-12,4818.89,4852.731,4810.919,4845.579,14320020400
2022-01-13,4853.031,4853.063,4765.242,4765.919,14251965300
2022-01-14,4743.912,4764.052,4723.943,4726.732,14686312600
2022-01-17,4728.76,4775.239,4726.708,4767.276,11529569100
2022-01-18,4766.781,4826.3,4747.92,4813.347,15087080200
2022-01-19,4815.811,4828.752,4755.93,4780.378,13392736000
2022-01-20,4778.262,4845.005,4777.568,4823.509,16497131500
2022-01-21,4808.773,4818.305,4762.564,4779.314,13895258500
2022-01-24,4753.941,4801.098,4746.448,4786.738,11446388000
2022-01-25,4761.95,4781.391,4678.247,4678.451,13366758600
2022-01-26,4697.099,4718.995,4648.128,4712.311,10707084200
2022-01-27,4708.099,4708.436,4616.027,4619.877,12126380400
2022-01-28,4641.814,4660.519,4559.833,4563.772,12648011200
2022-02-07,4638.575,4672.654,4615.005,4634.09,14484972000
2022-02-08,4626.437,4626.437,4522.471,4608.773,15583070800
2022-02-09,4608.149,4659.461,4595.283,4652.061,14833554700
2022-02-10,4657.211,4657.211,4608.091,4639.863,15157666600
2022-02-11,4617.874,4662.596,4595.875,4601.395,15597458400
2022-02-14,4579.42,4593.632,4530.057,4551.688,14367389400
2022-02-15,4553.811,4601.453,4550.543,4600.103,11502560000
2022-02-16,4619.846,4643.1,4607.218,4617.989,10725895500
2022-02-17,4616.896,4650.159,4606.952,4629.165,11001464300
2022-02-18,4604.567,4651.342,4598.1,4651.236,10455022800
2022-02-21,4646.052,4646.672,4613.297,4634.314,11251651200
2022-02-22,4601.918,4602.066,4550.804,4574.153,12331723700
2022-02-23,4582.006,4625.298,4579.295,4623.047,12295291600
2022-02-24,4592.069,4610.879,4488.476,4529.319,18440305800
2022-02-25,4564.632,4611.86,4561.896,4573.425,14972258300
2022-02-28,4563.743,4581.646,4530.676,4581.646,13540697800
2022-03-01,4597.855,4623.431,4583.917,4619.686,12313922000
2022-03-02,4594.017,4594.017,4558.442,4578.601,11329832500
2022-03-03,4595.025,4599.397,4544.431,4551.628,13828587700
2022-03-04,4513.364,4539.393,4481.493,4496.43,12726680600
2022-03-07,4462.517,4462.517,4338.304,4352.778,16219770600
2022-03-08,4361.642,4383.647,4252.539,4265.391,16786327700
2022-03-09,4280.979,4304.482,4068.193,4226.346,19423290000
2022-03-10,4326.204,4335.673,4288.508,4292.837,14526638300
2022-03-11,4231.196,4316.044,4176.452,4306.522,15239992100
2022-03-14,4248.153,4280.361,4174.758,4174.758,13018723600
2022-03-15,4125.487,4163.418,3983.812,3983.812,20252469900
2022-03-16,4053.099,4168.585,3942.861,4156.081,19602198200
2022-03-17,4237.672,4302.743,4217.804,4237.696,17940734400
2022-03-18,4218.474,4283.368,4194.94,4265.902,14945830500
2022-03-21,4280.14,4287.817,4223.024,4258.746,12703636000
2022-03-22,4252.566,4283.334,4236.689,4255.295,12638247000
2022-03-23,4269.609,4287.577,4241.957,4276.517,11708907800
2022-03-24,4249.533,4273.957,4216.851,4251.306,10891827200
2022-03-25,4249.073,4254.845,4173.93,4174.574,10880804600
2022-03-28,4128.838,4174.121,4091.298,4148.466,11844902100
2022-03-29,4155.418,4177.213,4124.718,4134.144,10026697200
2022-03-30,4162.167,4254.099,4160.735,4254.099,13834602400
2022-03-31,4234.716,4247.36,4214.535,4222.597,13402918500
2022-04-01,4198.819,4290.671,4190.084,4276.158,13380305300
2022-04-06,4258.833,4277.524,4236.728,4263.841,15906219500
2022-04-07,4240.024,4278.113,4205.743,4209.1,13488035300
2022-04-08,4213.211,4237.813,4175.529,4230.767,14284379300
2022-04-11,4203.79,4203.79,4089.093,4100.07,14819707100
2022-04-12,4102.971,4179.973,4075.796,4179.973,14428568400
2022-04-13,4154.412,4194.037,4139.737,4139.737,12509748900
2022-04-14,4172.644,4217.061,4155.551,4191.568,12479131600
2022-04-15,4162.372,4211.317,4152.974,4188.747,12476226300
2022-04-18,4152.931,4171.743,4119.994,4166.384,11750461000
